"notation","title","description","id","title_en","description_en"
"L ","Standards für inhaltsbezogene Kompetenzen","","e7u",,
"L 1","Leitidee Zahl","Die Schülerinnen und Schüler ...","u7p",,
"L 1.1","nutzen sinntragende Vorstellungen von rationalen Zahlen, insbesondere von natürlichen, ganzen und gebrochenen Zahlen entsprechend der Verwendungsnotwendigkeit,","","p3b",,
"L 1.2","stellen Zahlen der Situation angemessen dar, unter anderem in Zehnerpotenzschreibweise,","","g9e",,
"L 1.3","begründen die Notwendigkeit von Zahlbereichserweiterungen an Beispielen,","","u7v",,
"L 1.4","nutzen Rechengesetze, auch zum vorteilhaften Rechnen,","","q5q",,
"L 1.5","nutzen zur Kontrolle Überschlagsrechnungen und andere Verfahren,","","u5c",,
"L 1.6","runden Rechenergebnisse entsprechend dem Sachverhalt sinnvoll,","","g7z",,
"L 1.7","verwenden Prozent- und Zinsrechnung sachgerecht,","","c9d",,
"L 1.8","erläutern an Beispielen den Zusammenhang zwischen Rechenoperationen und deren Umkehrungen und nutzen diese Zusammenhänge,","","g3p",,
"L 1.9","wählen, beschreiben und bewerten Vorgehensweisen und Verfahren, denen Algorithmen bzw. Kalküle zu Grunde liegen,","","a4e",,
"L 1.10","führen in konkreten Situationen kombinatorische Überlegungen durch, um die Anzahl der jeweiligen Möglichkeiten zu bestimmen,","","r5p",,
"L 1.11","prüfen und interpretieren Ergebnisse in Sachsituationen unter Einbeziehung einer kritischen Einschätzung des gewählten Modells und seiner Bearbeitung.","","q7s",,
"L 2","Leitidee Messen","Die Schülerinnen und Schüler","u6a",,
"L 2.1","nutzen das Grundprinzip des Messens, insbesondere bei der Längen-, Flächen- und Volumenmessung, auch in Naturwissenschaften und in anderen Bereichen,","","u6q",,
"L 2.2","wählen Einheiten von Größen situationsgerecht aus (insbesondere für Zeit, Masse, Geld, Länge, Fläche, Volumen und Winkel),","","h2b",,
"L 2.3","schätzen Größen mit Hilfe von Vorstellungen über geeignete Repräsentanten,","","p6u",,
"L 2.4","berechnen Flächeninhalt und Umfang von Rechteck, Dreieck und Kreis sowie daraus zusammengesetzten Figuren,","","f7b",,
"L 2.5","berechnen Volumen und Oberflächeninhalt von Prisma, Pyramide, Zylinder, Kegel und Kugel sowie daraus zusammengesetzten Körpern,","","s4r",,
"L 2.6","berechnen Streckenlängen und Winkelgrößen, auch unter Nutzung von trigonometrischen Beziehungen und Ähnlichkeitsbeziehungen,","","c5r",,
"L 2.7","nehmen in ihrer Umwelt gezielt Messungen vor, entnehmen Maßangaben aus Quellenmaterial, führen damit Berechnungen durch und bewerten die Ergebnisse sowie den gewählten Weg in Bezug auf die Sachsituation","","u4s",,
"L 3","Leitidee Raum und Form","Die Schülerinnen und Schüler","r5v",,
"L 3.1","erkennen und beschreiben geometrische Strukturen in der Umwelt,","","b7p",,
"L 3.2","operieren gedanklich mit Strecken, Flächen und Körpern,","","a4u",,
"L 3.3","stellen geometrische Figuren im kartesischen Koordinatensystem dar,","","y3z",,
"L 3.4","stellen Körper (z. B. als Netz, Schrägbild oder Modell) dar und erkennen Körper aus ihren entsprechenden Darstellungen,","","v3y",,
"L 3.5","analysieren und klassifizieren geometrische Objekte der Ebene und des Raumes,","","c5x",,
"L 3.6","beschreiben und begründen Eigenschaften und Beziehungen geometrischer Objekte (wie Symmetrie, Kongruenz, Ähnlichkeit, Lagebeziehungen) und nutzen diese im Rahmen des Problemlösens zur Analyse von Sachzusammenhängen,","","r5d",,
"L 3.7","wenden Sätze der ebenen Geometrie bei Konstruktionen, Berechnungen und Beweisen an, insbesondere den Satz des Pythagoras und den Satz des Thales,","","x3v",,
"L 3.8","zeichnen und konstruieren geometrische Figuren unter Verwendung angemessener Hilfsmittel wie Zirkel, Lineal, Geodreieck oder dynamische Geometriesoftware,","","c9a",,
"L 3.9","untersuchen Fragen der Lösbarkeit und Lösungsvielfalt von Konstruktionsaufgaben und formulieren diesbezüglich Aussagen","","x2a",,
"L 3.10","setzen geeignete Hilfsmittel beim explorativen Arbeiten und Problemlösen ein.","","y6t",,
"L 4","Leitidee Funktionaler Zusammenhang","Die Schülerinnen und Schüler","d9a",,
"L 4.1","nutzen Funktionen als Mittel zur Beschreibung quantitativer Zusammenhänge,","","r2f",,
"L 4.2","erkennen und beschreiben funktionale Zusammenhänge und stellen diese in sprachlicher, tabellarischer oder graphischer Form sowie gegebenenfalls als Term dar,","","e3g",,
"L 4.3","analysieren, interpretieren und vergleichen unterschiedliche Darstellungen funktionaler Zusammenhänge (wie lineare, proportionale und antiproportionale),","","t4g",,
"L 4.4","lösen realitätsnahe Probleme im Zusammenhang mit linearen, proportionalen und antiproportionalen Zuordnungen,","","z4v",,
"L 4.5","interpretieren lineare Gleichungssysteme graphisch,","","q2b",,
"L 4.6","lösen Gleichungen, und lineare Gleichungssysteme kalkülmäßig bzw. algorithmisch, auch unter Einsatz geeigneter Software, und vergleichen ggf. die Effektivität ihres Vorgehens mit anderen Lösungsverfahren (wie mit inhaltlichem Lösen oder Lösen durch systematisches Probieren),","","e3c",,
"L 4.7","untersuchen Fragen der Lösbarkeit und Lösungsvielfalt von linearen und quadratischen Gleichungen sowie linearen Gleichungssystemen und formulieren diesbezüglich Aussagen,","","a9r",,
"L 4.8","bestimmen kennzeichnende Merkmale von Funktionen und stellen Beziehungen zwischen Funktionsterm und Graph her,","","a5a",,
"L 4.9","wenden insbesondere lineare und quadratische Funktionen sowie Exponentialfunktionen bei der Beschreibung und Bearbeitung von Problemen an,","","v2a",,
"L 4.10","verwenden die Sinusfunktion zur Beschreibung von periodischen Vorgängen,","","c4q",,
"L 4.11","beschreiben Veränderungen von Größen mittels Funktionen, auch unter Verwendung eines Tabellenkalkulationsprogramms,","","q7x",,
"L 4.12","geben zu vorgegebenen Funktionen Sachsituationen an, die mit Hilfe dieser Funktion beschrieben werden können.","","z4c",,
"L 5","Leitidee Daten und Zufall","Die Schülerinnen und Schüler","r2q",,
"L 5.1","werten graphische Darstellungen und Tabellen von statistischen Erhebungen aus,","","f5a",,
"L 5.2","planen statistische Erhebungen,","","a3p",,
