"notation","title","description","id","title_en","description_en"
"I ","Anforderungsbereich I","Dieser Bereich umfasst die Wiedergabe und direkte Anwendung von grundlegenden Begriffen, Sätzen und Verfahren in einem abgegrenzten Gebiet und einem wiederholenden Zusammenhang.","z7x","",""
"I 1","Mathematisch argumentieren","Dazu gehört:","u3q","",""
"I 1.1","Routineargumentationen wiedergeben (wie Rechnungen, Verfahren, Herleitungen, Sätze, die aus dem Unterricht vertraut sind)","","a4q","",""
"I 1.2","mit Alltagswissen argumentieren","","h5b","",""
"I 2","Probleme mathematisch lösen","Dazu gehört:","h3d","",""
"I 2.1","Routineaufgaben lösen („sich zu helfen wissen“)","","t5t","",""
"I 2.2","einfache Probleme mit bekannten - auch experimentellen - Verfahren lösen","","c6d","",""
"I 3","Mathematisch modellieren","Dazu gehört:","z2h","",""
"I 3.1","vertraute und direkt erkennbare Modelle nutzen","","s6q","",""
"I 3.2","einfachen Erscheinungen aus der Erfahrungswelt mathematische Objekte zuordnen","","r2r","",""
"I 3.3","Resultate am Kontext prüfen","","q2t","",""
"I 4","Mathematische Darstellungen verwenden","Dazu gehört:","s2q","",""
"I 4.1","vertraute und geübte Darstellungen von mathematischen Objekten und Situationen anfertigen oder nutzen","","r5s","",""
"I 5","Mit symbolischen, formalen und technischen Elementen der Mathematik umgehen","Dazu gehört:","y3q","",""
"I 5.1","Routineverfahren verwenden","","e6f","",""
"I 5.2","mit vertrauten Formeln und Symbolen umgehen","","g6y","",""
"I 5.3","mathematische Werkzeuge (wie Formelsammlungen, Taschenrechner, Software) in Situationen nutzen, in denen ihr Einsatz geübt wurde","","y5y","",""
"I 6","Kommunizieren","Dazu gehört:","h6d","",""
"I 6.1","einfache mathematische Sachverhalte mündlich und schriftlich ausdrücken","","y3y","",""
"I 6.2","aus kurzen, einfachen mathematikhaltigen Texten, Grafiken und Abbildungen Informationen entnehmen","","d2x","",""
"I 6.3","auf Fragen und Kritik sachlich und angemessen reagieren","","b9e","",""
"II ","Zusammenhänge herstellen","Dieser Bereich umfasst das Bearbeiten bekannter Sachverhalte, indem Kenntnisse, Fertigkeiten und Fähigkeiten verknüpft werden, die in der Auseinandersetzung mit Mathematik auf verschiedenen Gebieten erworben wurden.","c3h","",""
"II 1","Mathematisch argumentieren","Dazu gehört:","h9e","",""
"II 1.1","überschaubare mehrschrittige Argumentationen erläutern oder entwickeln","","c5f","",""
"II 1.2","einen Lösungsweg beschreiben und begründen","","a7t","",""
"II 1.3","Ergebnisse bzgl. ihres Anwendungskontextes bewerten","","c9c","",""
"II 1.4","Zusammenhänge, Ordnungen und Strukturen erläutern","","t6b","",""
"II 2","Probleme mathematisch lösen","Dazu gehört:","r7q","",""
"II 2.1","Probleme bearbeiten, deren Lösung die Anwendung von heuristischen Hilfsmitteln, Strategien und Prinzipien erfordert","","a9q","",""
